project_id,object_id,current_time,init_time,active_time,error_time,pause_time
1,0,5,5,0,0,0
1,0,5,5,0,0,0
1,0,10,5,5,0,0
1,0,10,5,5,0,0
1,0,10,5,5,0,0
1,0,15,5,10,0,0
1,0,15,5,10,0,0
1,0,20,5,15,0,0
1,0,20,5,15,0,0
1,1,25,25,0,0,0
1,1,25,25,0,0,0
1,2,25,25,0,0,0
1,2,25,25,0,0,0
1,0,25,5,15,0,5
1,0,26,5,15,0,6
1,1,26,25,1,0,0
1,0,26,5,15,0,6
1,0,26,5,15,0,6
1,0,27,5,16,0,6
1,1,27,25,2,0,0
1,0,27,5,16,0,6
1,0,27,5,16,0,6
1,0,31,5,20,0,6
1,0,31,5,20,0,6
1,0,36,5,25,0,6
1,0,36,5,25,0,6
1,3,45,45,0,0,0
1,3,45,45,0,0,0
1,1,45,25,2,0,18
1,0,45,5,25,0,15
1,1,46,25,2,0,19
1,1,46,25,2,0,19
1,3,46,45,1,0,0
1,0,46,5,25,0,16
1,1,46,25,2,0,19
1,0,46,5,25,0,16
1,0,47,5,25,0,17
1,1,47,25,3,0,19
1,0,47,5,25,0,17
1,0,47,5,25,0,17
1,1,48,25,3,0,20
1,1,48,25,3,0,20
1,1,48,25,3,0,20
1,0,48,5,26,0,17
1,3,48,45,3,0,0
1,0,48,5,26,0,17
1,1,49,25,4,0,20
1,0,49,5,27,0,17
1,0,49,5,27,0,17
1,1,49,25,4,0,20
1,3,49,45,4,0,0
1,1,49,25,4,0,20
1,0,49,5,27,0,17
1,0,49,5,27,0,17
1,3,50,45,5,0,0
1,3,50,45,5,0,0
1,0,50,5,28,0,17
1,0,50,5,28,0,17
1,1,50,25,5,0,20
1,0,50,5,28,0,17
1,1,51,25,5,0,21
1,3,51,45,6,0,0
1,1,51,25,5,0,21
1,0,51,5,29,0,17
1,3,51,45,6,0,0
1,3,51,45,6,0,0
1,2,51,25,26,0,0
1,1,51,25,5,0,21
1,0,51,5,29,0,17
1,0,52,5,30,0,17
1,0,52,5,30,0,17
1,1,52,25,6,0,21
1,3,52,45,7,0,0
1,1,52,25,6,0,21
1,0,52,5,30,0,17
1,0,53,5,30,1,17
1,1,53,25,7,0,21
1,0,53,5,30,1,17
1,0,53,5,30,1,17
1,3,56,45,7,0,4
1,3,56,45,7,0,4
1,1,56,25,10,0,21
1,0,56,5,30,4,17
1,2,56,25,31,0,0
1,3,56,45,7,0,4
1,1,56,25,10,0,21
1,0,56,5,30,4,17
1,0,57,5,30,5,17
1,0,57,5,30,5,17
1,1,58,25,12,0,21
1,3,58,45,9,0,4
1,1,58,25,12,0,21
1,0,58,5,31,5,17
1,0,62,5,35,5,17
1,0,62,5,35,5,17
1,0,63,5,36,5,17
1,0,63,5,36,5,17
1,1,63,25,17,0,21
1,0,63,5,36,5,17
1,4,65,65,0,0,0
1,4,65,65,0,0,0
1,2,65,25,31,0,9
1,3,65,45,9,0,11
1,1,65,25,19,0,21
1,0,65,5,38,5,17
1,0,67,5,40,5,17
1,0,67,5,40,5,17
1,2,67,25,31,0,11
1,2,67,25,31,0,11
1,0,67,5,40,5,17
1,2,67,25,31,0,11
1,3,67,45,9,0,13
1,1,67,25,21,0,21
1,0,67,5,40,5,17
1,1,67,25,21,0,21
1,3,67,45,9,0,13
1,0,68,5,41,5,17
1,0,68,5,41,5,17
1,1,68,25,22,0,21
1,0,68,5,41,5,17
1,2,69,25,33,0,11
1,2,69,25,33,0,11
1,3,69,45,9,0,15
1,1,69,25,22,0,22
1,0,69,5,42,5,17
1,4,70,65,5,0,0
1,4,70,65,5,0,0
1,2,70,25,34,0,11
1,3,70,45,9,0,16
1,1,70,25,22,0,23
1,0,70,5,43,5,17
1,0,72,5,45,5,17
1,0,72,5,45,5,17
1,3,72,45,9,0,18
1,2,72,25,36,0,11
1,3,72,45,9,0,18
1,1,72,25,22,0,25
1,0,72,5,45,5,17
1,3,74,45,11,0,18
1,1,74,25,22,0,27
1,1,74,25,22,0,27
1,0,74,5,47,5,17
1,2,74,25,38,0,11
1,3,74,45,11,0,18
1,2,74,25,38,0,11
1,1,74,25,22,0,27
1,0,74,5,47,5,17
1,4,75,65,10,0,0
1,4,75,65,10,0,0
1,2,75,25,39,0,11
1,0,75,5,48,5,17
1,0,75,5,48,5,17
1,1,75,25,23,0,27
1,3,75,45,11,0,19
1,1,75,25,23,0,27
1,0,75,5,48,5,17
1,0,75,5,48,5,17
1,0,77,5,50,5,17
1,0,77,5,50,5,17
1,3,77,45,11,0,21
1,2,77,25,41,0,11
1,3,77,45,11,0,21
1,1,77,25,23,0,29
1,0,77,5,50,5,17
1,3,77,45,11,0,21
1,1,77,25,23,0,29
1,0,77,5,50,5,17
1,3,79,45,13,0,21
1,1,79,25,23,0,31
1,1,79,25,23,0,31
1,0,79,5,52,5,17
1,2,79,25,43,0,11
1,3,79,45,13,0,21
1,2,79,25,43,0,11
1,1,79,25,23,0,31
1,0,79,5,52,5,17
1,4,80,65,15,0,0
1,4,80,65,15,0,0
1,2,80,25,44,0,11
1,0,80,5,53,5,17
1,0,80,5,53,5,17
1,1,80,25,24,0,31
1,3,80,45,13,0,22
1,1,80,25,24,0,31
1,0,80,5,53,5,17
1,0,80,5,53,5,17
1,0,82,5,55,5,17
1,0,82,5,55,5,17
1,2,82,25,46,0,11
1,3,82,45,13,0,24
1,3,82,45,13,0,24
1,1,82,25,24,0,33
1,0,82,5,55,5,17
1,3,84,45,15,0,24
